Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
25/05/2021,"33 VICTORIA AVE, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,"€795,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2016,"LEGLAND, RATHMULLAN, DONEGAL",,Donegal,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2016,"37 DOCTOR MURPHY PLACE, PORTLAOISE, LAOIS",,Laois,"€74,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2019,"ARDRISTAN, TULLOW, CAVAN",,Cavan,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2020,"2 BROADLOUGH VIEW, WICKLOW, CO. WICKLOW",,Wicklow,"€108,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
25/06/2021,"TEMPLEPETER, RATHOE, CARLOW",,Carlow,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2017,"APT 5, HOUSE 4, LINDEN SQ",,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/3/2018,"15 Adamstown Boulevard, Adamstown Square, Adanstown",,Dublin,"€295,154.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
6/2/2015,"CLOONMORE, BALLINDINE, MAYO",,Mayo,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2013,"20 Limeworth, Carriganarra, Carrigrohane",,Cork,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/10/2016,"TARA HILL, GOREY, WEXFORD",,Wexford,"€291,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2020,"16 THE SQUARE, ANNACOTTY, LIMERICK",,Limerick,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2019,"19 KNOCKMORE, WEXFORD RD, ARKLOW",,Wicklow,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
15/06/2016,"10 Tochar View, Causeway, County Kerry",,Kerry,"€98,678.42",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
25/11/2021,"10 CONEY PARK, CONEYBORO ATHY, KILDARE",,Kildare,"€145,438.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2017,"60 BUNBURY GATE AVE, SWORDS, DUBLIN",,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2020,"25 ORLAGH WOOD, SCHOLARSTOWN RD, TEMPLEOGUE DUBLIN 16",Dublin 16,Dublin,"€575,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2013,"Apt. 10  Prory Court, Priory Street, New Ross",,Wexford,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
7/12/2016,"112 ASHFIELD, MULLINGAR, CO WESTMEATH",,Westmeath,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,
7/7/2020,"LISMANANAGH, POLES, CO. CAVAN",,Cavan,"€15,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2016,"14 DOONBEIRNE DR, BALLINGARRY, LIMERICK",,Limerick,"€166,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2019,"1 RIVER STREET, CLOYNE, CO CORK",,Cork,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2019,"THE SEXTON'S HOUSE, 90 ELFORD TERRACE, DONORE AVENUE",,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2011,"26 The Acres, Dromahaire",,Leitrim,"€105,726.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
3/10/2011,"102 Ardaulin, Mungret",,Limerick,"€118,942.73",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/05/2020,"8 BELARMINE WALK, BELARMINE WOODS, STEPASIDE",Dublin 18,Dublin,"€652,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2021,"53 OAKFIELD, ORANMORE, GALWAY",,Galway,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
9/5/2019,"34 CASTLE FARM, SHANKILL, DUBLIN",Dublin 18,Dublin,"€510,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2017,"27 BROOKHAVEN WALK, MILL RD, CORBALLY",,Limerick,"€80,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
16/03/2016,"89 LISSADELL, MARYBOROUGH HILL, DOUGLAS",,Cork,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/04/2018,"73 Oak House, Silverbanks, The Coast",,Dublin,"€224,669.60",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
1/2/2017,"LEABGARROW, ARRANMORE, DONEGAL",,Donegal,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2018,"DUNROAMIN HOUSE BALLINCROKIG, DUBLIN PIKE, CORK",,Cork,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/8/2010,"17 Orlagh Avenue, Knocklyon, Dublin 16",,Dublin,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
5/4/2019,"113 Fearach Cnoic, Greenville, Enniscorthy",,Wexford,"€149,350.00",No,Yes,New Dwelling house /Apartment,
10/8/2021,"43 BALNAGOWAN, PALMERSTON PARK, DUBLIN 6",Dublin 6,Dublin,"€300,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
29/05/2015,"347 MALAHIDE MARINA VILLAGE, MALAHIDE, DUBLIN",,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
2/2/2012,"17 the view, robswall, malahide",,Dublin,"€528,635.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
14/06/2017,"27 THE TURNPIKE, SANTRY CROSS, SANTRY DUBLIN 9",Dublin 9,Dublin,"€93,568.31",No,No,Second-Hand Dwelling house /Apartment,
18/12/2015,"5 HILLSIDE VIEW, BALLYARRA, CASTLELYONS",,Cork,"€57,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2014,"KNOCKNAVADDY, FURBO, SPIDDAL",,Galway,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
1/11/2012,"Rustic Lodge, 12 Edgewood, Glenville",,Cork,"€243,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/1/2013,"Millicent Road, Clane",,Kildare,"€214,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2019,"3 Clogheraun Brook, Staplestown",,Kildare,"€515,418.00",No,Yes,New Dwelling house /Apartment,
1/2/2018,"4 BODKIN PLACE, KILMEAGUE, KILDARE",,Kildare,"€195,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/07/2020,"3 HAZEL HURST THE LOAKERS, DUNDALK, LOUTH",,Louth,"€153,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/02/2021,"56 CLOONARKIN DR, ORANMORE, CO GALWAY",,Galway,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/1/2015,"2 ABBEY STREET, ARKLOW, CO. WICKLOW",,Wicklow,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2017,"16 MARLMOUNT GREEN, DUNDALK",,Louth,"€273,127.75",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/10/2014,"409 CITY CENTRAL, BEDFORD ROW, LIMERICK",,Limerick,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2019,"15 ST PETERS RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,"€322,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2017,"KAPITI 39 THORMANBY RD, BAILEY, HOWTH",Dublin 13,Dublin,"€765,000.00",No,No,Second-Hand Dwelling house /Apartment,
