Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"12 DODDER LAWN, FIRHOUSE, DUBLIN 24",Dublin 24,Dublin,256479.0,No,No,Second-Hand Dwelling house /Apartment,,22,12,2014,2014-12-22
"51 THE RICHMOND, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,204000.0,No,No,Second-Hand Dwelling house /Apartment,,12,11,2015,2015-11-12
"1 MICHAEL BURKES TERRACE, COBH, CORK",,Cork,160000.0,No,No,Second-Hand Dwelling house /Apartment,,28,6,2019,2019-06-28
"10 ORCHARD HEIGHTS, CHARLEVILLE, CORK",,Cork,170500.0,Yes,No,Second-Hand Dwelling house /Apartment,,15,11,2018,2018-11-15
"75 Sandford Woods, Swords, County Dublin",,Dublin,340000.0,No,No,Second-Hand Dwelling house /Apartment,,24,9,2010,2010-09-24
"22 ST AONGUS LAWN, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,187000.0,No,No,Second-Hand Dwelling house /Apartment,,23,4,2015,2015-04-23
"46 The Green, Moyglare Hall Moyglare Road, Maynooth",,Kildare,322000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,3,2,2011,2011-02-03
"Seaview Cottage, The Murrough, Wicklow Town",,Wicklow,37000.0,No,No,Second-Hand Dwelling house /Apartment,,28,3,2013,2013-03-28
"6 FERMANAGH TERRACE, CLONES, MONAGHAN",,Monaghan,38000.0,No,No,Second-Hand Dwelling house /Apartment,,1,12,2017,2017-12-01
"ST JUDES, MAIN STREET, DUNCANNON",,Wexford,221500.0,No,No,Second-Hand Dwelling house /Apartment,,15,9,2016,2016-09-15
"18 fairlawn road, finglas, dublin 11",,Dublin,80000.0,Yes,No,Second-Hand Dwelling house /Apartment,,27,4,2011,2011-04-27
"No. 7 The Court, Harbour Heights, Passage West",,Cork,58149.78,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13,9,2016,2016-09-13
"49 CILL CHAIS, SHANNON, CLARE",,Clare,110000.0,No,No,Second-Hand Dwelling house /Apartment,,4,12,2015,2015-12-04
"BEAGH, DROMAHAIR, LEITRIM",,Leitrim,30000.0,No,No,Second-Hand Dwelling house /Apartment,,27,11,2014,2014-11-27
"58 Daisyhill Manor, Ballyconnell",,Cavan,50000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,9,6,2017,2017-06-09
"9 COACHMAN APTS, 40 DOMINIC STREET, GALWAY",,Galway,122500.0,No,No,Second-Hand Dwelling house /Apartment,,5,7,2018,2018-07-05
"6 ASHWOOD PARK, SOUTH DOUGLAS RD, CORK",,Cork,150000.0,Yes,No,Second-Hand Dwelling house /Apartment,,17,7,2020,2020-07-17
"50 Seatown, Dundalk",,Louth,82500.0,No,No,Second-Hand Dwelling house /Apartment,,8,3,2013,2013-03-08
"32 Dun Emer Avenue, Lusk.",,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,8,9,2010,2010-09-08
